"Downloaded on",02/17/2020,"12:01:54 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%2296%22%2C%2295%22%2C%2294%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2492",https://www.congress.gov/bill/96th-congress/senate-bill/2492,"96th Congress (1979-1980)",,"Ocean Thermal Energy Conversion Act of 1980","Sen. Inouye, Daniel K. [D-HI]",03/27/1980,,,,10,"Senate - Commerce, Science, and Transportation",08/03/1980,"Public Law 96-320."
"S. 2489",https://www.congress.gov/bill/96th-congress/senate-bill/2489,"96th Congress (1979-1980)",,"An act to authorize appropriations for the Coast Guard for fiscal year 1981, to authorize supplemental appropriations for fiscal year 1980, and for other purposes.","Sen. Cannon, Howard W. [D-NV]",03/27/1980,,,,1,"Senate - Commerce, Science, and Transportation",10/03/1980,"Public Law 96-376."
"S. 2475",https://www.congress.gov/bill/96th-congress/senate-bill/2475,"96th Congress (1979-1980)",,"An act to amend title V of the Motor Vehicle Information and Cost Savings Act to reduce administrative burdens on low volume automobile manufacturers, to encourage an increase of the domestic value added content in labor and materials of foreign automobiles sold in the United States, to extend the time available to all manufacturers for carryforward or carryback of credits earned under the Act, and for other purposes.","Sen. Cannon, Howard W. [D-NV]",03/25/1980,,,,0,"House - Commerce | Senate - Commerce, Science, and Transportation",10/10/1980,"Public Law 96-425."
"S. 2460",https://www.congress.gov/bill/96th-congress/senate-bill/2460,"96th Congress (1979-1980)",,"An act to amend chapter 5 of title 37, United States Code, to revise the special pay provisions for medical officers in the uniformed services and to extend the special pay provisions for other health professionals in the uniformed services, and for other purposes.","Sen. Hart, Gary W. [D-CO]",03/20/1980,,,,0,"Senate - Armed Services",06/28/1980,"Public Law 96-284."
"S. 2443",https://www.congress.gov/bill/96th-congress/senate-bill/2443,"96th Congress (1979-1980)",,"West Valley Demonstration Project Act","Sen. Moynihan, Daniel Patrick [D-NY]",03/19/1980,,,,1,"Senate - Energy and Natural Resources",10/01/1980,"Public Law 96-368."
"S. 2441",https://www.congress.gov/bill/96th-congress/senate-bill/2441,"96th Congress (1979-1980)",,"An act to amend the Juvenile Justice and Delinquency Prevention Act of 1974 to extend the authorization of appropriations for such Act, and for other purposes.","Sen. Bayh, Birch [D-IN]",03/19/1980,,,,6,"Senate - Judiciary",12/08/1980,"Public Law 96-509."
"S. 2427",https://www.congress.gov/bill/96th-congress/senate-bill/2427,"96th Congress (1979-1980)",,"A bill to encourage greater participation in the farmer-held reserve program for corn and wheat, and for other purposes.","Sen. Talmadge, Herman E. [D-GA]",03/17/1980,,,,0,"Senate - Agriculture, Nutrition, and Forestry",04/11/1980,"Public Law 96-234."
"S. 2412",https://www.congress.gov/bill/96th-congress/senate-bill/2412,"96th Congress (1979-1980)",,"An act to amend the Solid Waste Disposal Act to further encourage the use of recycled oil.","Sen. Domenici, Pete V. [R-NM]",03/12/1980,,,,6,"House - Commerce | Senate - Environment and Public Works",10/15/1980,"Public Law 96-463."
"S. 2398",https://www.congress.gov/bill/96th-congress/senate-bill/2398,"96th Congress (1979-1980)",,"A bill to extend the provisions of the General Exchange Act, as amended, to certain lands in order that they may become parts of the Umatilla and Wallowa National Forests, and for other purposes.","Sen. Hatfield, Mark O. [R-OR]",03/06/1980,,,,0,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/09/1980,"Public Law 96-406."
"S. 2382",https://www.congress.gov/bill/96th-congress/senate-bill/2382,"96th Congress (1979-1980)",,"A bill to provide for additional authorization for appropriations for the Tinicum National Environmental Center.","Sen. Heinz, John [R-PA]",03/05/1980,,,,0,"Senate - Environment and Public Works",07/25/1980,"Public Law 96-315."
