"Downloaded on",02/17/2020,"12:02:27 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22bill-status%22%3A%5B%22law%22%5D%2C%22congress%22%3A%2293%22%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3373",https://www.congress.gov/bill/93rd-congress/senate-bill/3373,"93rd Congress (1973-1974)",,"A bill relating to the sale and distribution of the Congressional Record.","Sen. Cannon, Howard W. [D-NV]",04/24/1974,,,,0,"House - House Administration | Senate - Rules and Administration",06/08/1974,"Public law 93-314."
"S. 3362",https://www.congress.gov/bill/93rd-congress/senate-bill/3362,"93rd Congress (1973-1974)",,"An Act to enable the Secretary of the Interior to provide for the operation, maintenance and continued construction of the Federal transmission system in the Pacific Northwest by use of the revenues of the Federal Columbia River Power System and the proceeds of revenue bonds, and for other purposes.","Sen. Jackson, Henry M. [D-WA]",04/22/1974,,,,5,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",10/18/1974,"Public law 93-454."
"S. 3359",https://www.congress.gov/bill/93rd-congress/senate-bill/3359,"93rd Congress (1973-1974)",,"An Act to authorize the conveyance of certain lands to the United States in trust for the citizen band of Pottawatomie Indians.","Sen. Bartlett, Dewey F. [R-OK]",04/11/1974,,,,0,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",01/02/1975,"Public law 93-591."
"S. 3358",https://www.congress.gov/bill/93rd-congress/senate-bill/3358,"93rd Congress (1973-1974)",,"A bill to authorize the conveyance of certain lands to the United States in trust for the Absentee Shawnee Tribe of Indians of Oklahoma.","Sen. Bartlett, Dewey F. [R-OK]",04/11/1974,,,,0,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",01/02/1975,"Public law 93-590."
"S. 3355",https://www.congress.gov/bill/93rd-congress/senate-bill/3355,"93rd Congress (1973-1974)",,"An Act to amend the Controlled Substances Act to extend for three fiscal years the authorizations of appropriations for the administration and enforcement of that Act.","Sen. Cook, Marlow W. [R-KY]",04/11/1974,,,,1,"House - Commerce | Senate - Judiciary",10/26/1974,"Public law 93-481."
"S. 3331",https://www.congress.gov/bill/93rd-congress/senate-bill/3331,"93rd Congress (1973-1974)",,"Small Business Amendments","Sen. Cranston, Alan [D-CA]",04/09/1974,,,,0,"House - Banking | Senate - Banking, Housing, and Urban Affairs",08/23/1974,"Public law 93-386."
"S. 3320",https://www.congress.gov/bill/93rd-congress/senate-bill/3320,"93rd Congress (1973-1974)",,"A bill to extend the appropriation authorization for reporting of weather modification activities.","Sen. Magnuson, Warren G. [D-WA]",04/08/1974,,,,1,"House - Commerce | Senate - Commerce",10/05/1974,"Public law 93-436."
"S. 3311",https://www.congress.gov/bill/93rd-congress/senate-bill/3311,"93rd Congress (1973-1974)",,"A bill to provide for the use of simplified procedures in the procurement of property and services by the Government where the amount involved does not exceed $10,000.","Sen. Chiles, Lawton [D-FL]",04/04/1974,,,,11,"House - Government Operations | Senate - Government Operations",07/25/1974,"Public law 93-356."
"S. 3308",https://www.congress.gov/bill/93rd-congress/senate-bill/3308,"93rd Congress (1973-1974)",,"A bill to amend section 2 of title 14, United States Code, to authorize icebreaking operations in foreign waters pursuant to international agreements, and for other purposes.","Sen. Magnuson, Warren G. [D-WA]",04/04/1974,,,,1,"House - Merchant Marine and Fisheries | Senate - Commerce",12/13/1974,"Public law 93-519."
"S. 3304",https://www.congress.gov/bill/93rd-congress/senate-bill/3304,"93rd Congress (1973-1974)",,"A bill to authorize the Secretary of State or such officer as he may designate to conclude an agreement with the People's Republic of China for indemnification for any loss or damage to objects in the ""exhibition of the Archeological Finds of the People's Republic of China"" while in the possession of the Government of the United States.","Sen. Mansfield, Mike [D-MT]",04/04/1974,,,,1,"House - Foreign Affairs | Senate - Foreign Relations",05/21/1974,"Public law 93-287."
"S. 3301",https://www.congress.gov/bill/93rd-congress/senate-bill/3301,"93rd Congress (1973-1974)",,"A bill to amend the act of October 27, 1972 (Public Law 92-578).","Sen. Jackson, Henry M. [D-WA]",04/03/1974,,,,1,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",10/01/1974,"Public law 93-427."
"S. 3292",https://www.congress.gov/bill/93rd-congress/senate-bill/3292,"93rd Congress (1973-1974)",,"An Act to authorize appropriations to the Atomic Energy Commission in accordance with section 261 of the Atomic Energy Act of 1954, as amended, and for other purposes.","Sen. Pastore, John O. [D-RI]",04/02/1974,,,,1,"Senate - Joint Atomic Energy",05/10/1974,"Public law 93-276."
"S. 3289",https://www.congress.gov/bill/93rd-congress/senate-bill/3289,"93rd Congress (1973-1974)",,"An Act to amend the Act of August 10, 1939 (53 Stat. 1347), and for other purposes.","Sen. Jackson, Henry M. [D-WA]",04/02/1974,,,,0,"House - Agriculture | Senate - Interior and Insular Affairs",01/02/1975,"Public law 93-589."
"S. 3270",https://www.congress.gov/bill/93rd-congress/senate-bill/3270,"93rd Congress (1973-1974)",,"An Act to amend the Defense Production Act of 1950 and to establish a National Commission on Supplies and Shortages Act of 1974.","Sen. Sparkman, John J. [D-AL]",03/28/1974,,,,2,"House - Banking | Senate - Banking, Housing, and Urban Affairs",09/30/1974,"Public law 93-426."
"S. 3234",https://www.congress.gov/bill/93rd-congress/senate-bill/3234,"93rd Congress (1973-1974)",,"An Act to authorize a vigorous Federal program of research, development, and demonstration to assure the utilization of solar energy as a viable source for our national needs, and for other purposes.","Sen. Humphrey, Hubert H. [D-MN]",03/26/1974,,,,29,"Senate - Interior and Insular Affairs",10/26/1974,"Public law 93-473."
"S. 3228",https://www.congress.gov/bill/93rd-congress/senate-bill/3228,"93rd Congress (1973-1974)",,"An Act to provide funeral transportation and living expense benefits to the families of deceased prisoners of war, and for other purposes.","Sen. Dole, Robert J. [R-KS]",03/22/1974,,,,5,,03/29/1974,"Public law 93-257."
"S. 3204",https://www.congress.gov/bill/93rd-congress/senate-bill/3204,"93rd Congress (1973-1974)",,"A bill to eliminate discrimination based on sex in the youth programs offered by the Naval Sea Cadet Corps.","Sen. Mathias, Charles McC., Jr. [R-MD]",03/20/1974,,,,0,"Senate - Judiciary",11/29/1974,"Public law 93-504."
"S. 3203",https://www.congress.gov/bill/93rd-congress/senate-bill/3203,"93rd Congress (1973-1974)",,"An Act to amend the National Labor Relations Act to extend its coverage and protection to employees of nonprofit hospitals, and for other purposes.","Sen. Williams, Harrison A., Jr. [D-NJ]",03/20/1974,,,,9,"House - Education and Labor | Senate - Labor and Public Welfare",07/26/1974,"Public law 93-360."
"S. 3202",https://www.congress.gov/bill/93rd-congress/senate-bill/3202,"93rd Congress (1973-1974)",,"Farm Labor Contractor Registration Act Amendments","Sen. Nelson, Gaylord [D-WI]",03/20/1974,,,,0,"House - Public Works | Senate - Labor and Public Welfare",12/07/1974,"Public law 93-518."
"S. 3191",https://www.congress.gov/bill/93rd-congress/senate-bill/3191,"93rd Congress (1973-1974)",,"A bill to amend title 10, United States Code, to provide that commissioned officers of the Army in regular grades below major may be involuntarily discharged whenever there is a reduction in force.","Sen. Stennis, John C. [D-MS]",03/20/1974,,,,1,"House - Armed Services | Senate - Armed Services",12/30/1974,"Public law 93-558."
"S. 3190",https://www.congress.gov/bill/93rd-congress/senate-bill/3190,"93rd Congress (1973-1974)",,"A bill to authorize appropriations for fiscal year 1975 for carrying out the Board for International Broadcasting Act of 1973.","Sen. Sparkman, John J. [D-AL]",03/19/1974,,,,0,"Senate - Foreign Relations",08/28/1974,"Public law 93-392."
"S. 3164",https://www.congress.gov/bill/93rd-congress/senate-bill/3164,"93rd Congress (1973-1974)",,"An Act to further the national housing goal of encouraging homeownership by regulating certain lending practices and closing and settlement procedures in federally related mortgage transactions to the end that unnecessary costs and difficulties of purchasing housing are minimized, and for other purposes.","Sen. Brock, Bill [R-TN]",03/13/1974,,,,0,"Senate - Banking, Housing, and Urban Affairs",12/22/1974,"Public law 93-533."
"S. 3072",https://www.congress.gov/bill/93rd-congress/senate-bill/3072,"93rd Congress (1973-1974)",,"An Act to amend title 38, United States Code, to increase the rates of disability compensation for disabled veterans; to increase the rates of dependency and indemnity compensation for their survivors; and for other purposes.","Sen. Hartke, Vance [D-IN]",02/27/1974,,,,14,"Senate - Veterans' Affairs",05/31/1974,"Public law 93-295."
"S. 3066",https://www.congress.gov/bill/93rd-congress/senate-bill/3066,"93rd Congress (1973-1974)",,"Housing and Community Development Act of 1974","Sen. Sparkman, John J. [D-AL]",02/27/1974,,,,0,"House - Banking | Senate - Banking, Housing, and Urban Affairs",08/22/1974,"Public law 93-383."
"S. 3062",https://www.congress.gov/bill/93rd-congress/senate-bill/3062,"93rd Congress (1973-1974)",,"Disaster Relief Act Amendments","Sen. Burdick, Quentin N. [D-ND]",02/26/1974,,,,11,"Senate - Public Works",05/22/1974,"Public law 93-288."
"S. 3052",https://www.congress.gov/bill/93rd-congress/senate-bill/3052,"93rd Congress (1973-1974)",,"A bill to amend the Act of October 13, 1972.","Sen. Hruska, Roman L. [R-NE]",02/25/1974,,,,3,"House - Judiciary | Senate - Judiciary",09/19/1974,"Public law 93-420."
"S. 3044",https://www.congress.gov/bill/93rd-congress/senate-bill/3044,"93rd Congress (1973-1974)",,"An Act to impose overall limitations on campaign expenditures and political contributions; to provide that each candidate for Federal office shall designate a principal campaign committee; to provide for a single reporting responsibility with respect to receipts and expenditures by certain political committees; to change the times for the filing of reports regarding campaign expenditures and political contributions; to provide for public financing of Presidential nominating conventions and Presidential primary elections; and for other purposes.","Sen. Cannon, Howard W. [D-NV]",02/21/1974,,,,1,"House - House Administration | Senate - Rules and Administration",10/15/1974,"Public law 93-443."
"S. 3022",https://www.congress.gov/bill/93rd-congress/senate-bill/3022,"93rd Congress (1973-1974)",,"An Act to amend the Wild and Scenic Rivers Act (82 Stat. 906), as amended, to designate segments of certain rivers for possible inclusion in the national wild and scenic rivers system; to amend the Lower Saint Croix River Act of 1972 (86 Stat. 1174), and for other purposes.","Sen. Nelson, Gaylord [D-WI]",02/19/1974,,,,2,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",01/03/1975,"Public law 93-621."
"S. 3007",https://www.congress.gov/bill/93rd-congress/senate-bill/3007,"93rd Congress (1973-1974)",,"A bill to authorize appropriations for the Indian Claims Commission for fiscal year 1975.","Sen. Jackson, Henry M. [D-WA]",02/18/1974,,,,1,"House - Interior and Insular Affairs | Senate - Interior and Insular Affairs",10/27/1974,"Public law 93-494."
"S. 2994",https://www.congress.gov/bill/93rd-congress/senate-bill/2994,"93rd Congress (1973-1974)",,"An Act to amend the Public Health Service Act to assure the development of a national health policy and of effective State and area health planning and resources development programs, and for other purposes.","Sen. Kennedy, Edward M. [D-MA]",02/08/1974,,,,1,"Senate - Labor and Public Welfare",01/04/1975,"Public law 93-641."
"S. 2957",https://www.congress.gov/bill/93rd-congress/senate-bill/2957,"93rd Congress (1973-1974)",,"An Act to amend the title of the Foreign Assistance Act of 1961 concerning the Overseas Private Investment Corporation to extend the authority for the Corporation, to authorize the Corporation to issue reinsurance, to terminate certain activities of the Corporation, and for other purposes.","Sen. Church, Frank [D-ID]",02/05/1974,,,,0,"House - Foreign Affairs | Senate - Foreign Relations",08/27/1974,"Public law 93-390."
