"Downloaded on",02/17/2020,"12:00:27 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22102%22%2C%22101%22%2C%22100%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3266",https://www.congress.gov/bill/101st-congress/senate-bill/3266,"101st Congress (1989-1990)",,"Crime Control Act of 1990","Sen. Biden, Joseph R., Jr. [D-DE]",10/27/1990,,,,1,,11/29/1990,"Became Public Law No: 101-647."
"S. 3237",https://www.congress.gov/bill/101st-congress/senate-bill/3237,"101st Congress (1989-1990)",,"Silver Coin Proof Sets Act","Sen. Bryan, Richard H. [D-NV]",10/23/1990,,,,8,"House - Banking, Finance, and Urban Affrs",11/15/1990,"Became Public Law No: 101-585."
"S. 3216",https://www.congress.gov/bill/101st-congress/senate-bill/3216,"101st Congress (1989-1990)",,"A bill to designate the Department of Veterans Affairs Medical Center in Charleston, South Carolina, as the ""Ralph H. Johnson Department of Veterans Affairs Medical Center"".","Sen. Thurmond, Strom [R-SC]",10/18/1990,,,,1,,10/31/1990,"Became Public Law No: 101-488."
"S. 3215",https://www.congress.gov/bill/101st-congress/senate-bill/3215,"101st Congress (1989-1990)",,"A bill to authorize the transfer by lease of a specified naval landing ship dock to the Government of Brazil.","Sen. Nunn, Sam [D-GA]",10/18/1990,,,,1,"House - Foreign Affairs",11/15/1990,"Became Public Law No: 101-568."
"S. 3187",https://www.congress.gov/bill/101st-congress/senate-bill/3187,"101st Congress (1989-1990)",,"An original bill to address immediate problems affecting environmental cleanup activities.","Sen. Burdick, Quentin N. [D-ND]",10/11/1990,,,,0,"House - Energy and Commerce | Senate - Environment and Public Works",11/15/1990,"Became Public Law No: 101-584."
"S. 3176",https://www.congress.gov/bill/101st-congress/senate-bill/3176,"101st Congress (1989-1990)",,"National Environmental Education Act","Sen. Burdick, Quentin N. [D-ND]",10/10/1990,,,,0,"Senate - Environment and Public Works",11/16/1990,"Became Public Law No: 101-619."
"S. 3156",https://www.congress.gov/bill/101st-congress/senate-bill/3156,"101st Congress (1989-1990)",,"A bill to correct a clerical error in Public Law 101-383.","Sen. Johnston, J. Bennett [D-LA]",10/03/1990,,,,0,,11/14/1990,"Became Public Law No: 101-548."
"S. 3155",https://www.congress.gov/bill/101st-congress/senate-bill/3155,"101st Congress (1989-1990)",,"A bill to extend the expiration date of the Defense Production Act of 1950 to October 20, 1990.","Sen. Riegle, Donald W., Jr. [D-MI]",10/03/1990,,,,0,,10/06/1990,"Became Public Law No: 101-411."
"S. 3127",https://www.congress.gov/bill/101st-congress/senate-bill/3127,"101st Congress (1989-1990)",,"A bill to designate the Department of Veterans Affairs Medical Center in Albany, New York, as the ""Samuel S. Stratton Department of Veterans Affairs Medical Center"".","Sen. Moynihan, Daniel Patrick [D-NY]",09/27/1990,,,,1,"House - Veterans' Affairs",10/24/1990,"Became Public Law No: 101-457."
"S. 3091",https://www.congress.gov/bill/101st-congress/senate-bill/3091,"101st Congress (1989-1990)",,"A bill to amend the Act incorporating the American Legion as to redefine eligibility for membership therein.","Sen. Thurmond, Strom [R-SC]",09/24/1990,,,,6,"House - Judiciary | Senate - Judiciary",10/30/1990,"Became Public Law No: 101-478."
"S. 3084",https://www.congress.gov/bill/101st-congress/senate-bill/3084,"101st Congress (1989-1990)",,"Fallon Paiute Shoshone Indian Tribes Water Rights Settlement Act of 1990","Sen. Reid, Harry [D-NV]",09/20/1990,,,,1,"House - Interior and Insular Affairs | Senate - Indian Affairs",11/16/1990,"Became Public Law No: 101-618."
"S. 3069",https://www.congress.gov/bill/101st-congress/senate-bill/3069,"101st Congress (1989-1990)",,"Environmental Research Geographic Location Information Act","Sen. Jeffords, James M. [R-VT]",09/18/1990,,,,16,"House - Science, Space and Technology | Senate - Environment and Public Works",11/16/1990,"Became Public Law No: 101-617."
"S. 3062",https://www.congress.gov/bill/101st-congress/senate-bill/3062,"101st Congress (1989-1990)",,"A bill to transfer the responsibility for operation and maintenance of Highway 82 Bridge at Greenville, Mississippi, to the States of Mississippi and Arkansas.","Sen. Lott, Trent [R-MS]",09/17/1990,,,,3,"House - Public Works and Transportation | Senate - Environment and Public Works",11/06/1990,"Became Public Law No: 101-531."
"S. 3046",https://www.congress.gov/bill/101st-congress/senate-bill/3046,"101st Congress (1989-1990)",,"A bill to redesignate the Federal building located at 1 Bowling Green in New York, New York, as the ""Alexander Hamilton United States Custom House"".","Sen. Moynihan, Daniel Patrick [D-NY]",09/13/1990,,,,0,"Senate - Environment and Public Works",10/24/1990,"Became Public Law No: 101-456."
"S. 3043",https://www.congress.gov/bill/101st-congress/senate-bill/3043,"101st Congress (1989-1990)",,"A bill for the relief of Nebraska Aluminum Castings, Inc.","Sen. Exon, J. James [D-NE]",09/13/1990,,,,1,"House - Judiciary | Senate - Judiciary",11/06/1990,"Became Private Law No: 101-11."
"S. 3033",https://www.congress.gov/bill/101st-congress/senate-bill/3033,"101st Congress (1989-1990)",,"A bill to amend title 39, United States Code, to allow free mailing privileges to be extended to members of the Armed Forces while engaged in temporary military operations under arduous circumstances.","Sen. Pryor, David H. [D-AR]",09/12/1990,,,,8,"Senate - Governmental Affairs",09/18/1990,"Became Public Law No: 101-384."
"S. 3032",https://www.congress.gov/bill/101st-congress/senate-bill/3032,"101st Congress (1989-1990)",,"A bill to designate the planned Department of Veterans Affairs Medical Center in Honolulu, Hawaii, as the ""Spark M. Matsunaga Department of Veterans Affairs Medical Center"".","Sen. Akaka, Daniel K. [D-HI]",09/12/1990,,,,2,"Senate - Veterans' Affairs",10/31/1990,"Became Public Law No: 101-487."
"S. 3016",https://www.congress.gov/bill/101st-congress/senate-bill/3016,"101st Congress (1989-1990)",,"A bill for the relief of Janice and Leslie Sedore and Ruth Hillman.","Sen. Levin, Carl [D-MI]",09/10/1990,,,,1,"House - Judiciary | Senate - Judiciary",11/02/1990,"Became Private Law No: 101-10."
"S. 3012",https://www.congress.gov/bill/101st-congress/senate-bill/3012,"101st Congress (1989-1990)",,"Independent Safety Board Act Amendments of 1990","Sen. Hollings, Ernest F. [D-SC]",08/30/1990,,,,0,"Senate - Commerce, Science, and Transportation",11/28/1990,"Became Public Law No: 101-641."
"S. 2952",https://www.congress.gov/bill/101st-congress/senate-bill/2952,"101st Congress (1989-1990)",,"Energy Policy and Conservation Act Short-Term Extension Amendment of 1990","Sen. Johnston, J. Bennett [D-LA]",08/02/1990,,,,1,,08/10/1990,"Became Public Law No: 101-360."
"S. 2946",https://www.congress.gov/bill/101st-congress/senate-bill/2946,"101st Congress (1989-1990)",,"Transplant Amendments Act of 1990","Sen. Kennedy, Edward M. [D-MA]",07/31/1990,,,,12,"House - Energy and Commerce | Senate - Labor and Human Resources",11/16/1990,"Became Public Law No: 101-616."
"S. 2936",https://www.congress.gov/bill/101st-congress/senate-bill/2936,"101st Congress (1989-1990)",,"Hazardous Materials Transportation Uniform Safety Act of 1990","Sen. Exon, J. James [D-NE]",07/30/1990,,,,2,"Senate - Commerce, Science, and Transportation",11/16/1990,"Became Public Law No: 101-615."
"S. 2930",https://www.congress.gov/bill/101st-congress/senate-bill/2930,"101st Congress (1989-1990)",,"A bill to eliminate ""substantial documentary evidence"" requirement for minimum wage determination for American Samoa.","Sen. McClure, James A. [R-ID]",07/27/1990,,,,0,"Senate - Labor and Human Resources",11/15/1990,"Became Public Law No: 101-583."
"S. 2857",https://www.congress.gov/bill/101st-congress/senate-bill/2857,"101st Congress (1989-1990)",,"National Institutes of Health Amendments of 1990","Sen. Kennedy, Edward M. [D-MA]",07/16/1990,,,,1,"Senate - Labor and Human Resources",11/16/1990,"Became Public Law No: 101-613."
"S. 2846",https://www.congress.gov/bill/101st-congress/senate-bill/2846,"101st Congress (1989-1990)",,"A bill to authorize and direct the Secretary of the Interior to conduct a study of the feasibility of establishing a unit of the National Park System to interpret and commemorate the origins, development, and progression of jazz in the United States, and for other purposes.","Sen. Johnston, J. Bennett [D-LA]",07/12/1990,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",11/02/1990,"Became Public Law No: 101-499."
"S. 2830",https://www.congress.gov/bill/101st-congress/senate-bill/2830,"101st Congress (1989-1990)",,"Food, Agriculture, Conservation, and Trade Act of 1990","Sen. Leahy, Patrick J. [D-VT]",07/06/1990,,,,0,"Senate - Agriculture, Nutrition, and Forestry",11/28/1990,"Became Public Law No: 101-624."
"S. 2806",https://www.congress.gov/bill/101st-congress/senate-bill/2806,"101st Congress (1989-1990)",,"An Act to redesignate ""The National System of Interstate and Defense Highways as The Dwight D. Eisenhower System of Interstate and Defense Highways.""","Sen. Heinz, John [R-PA]",06/28/1990,,,,13,"Senate - Environment and Public Works",10/15/1990,"Became Public Law No: 101-427."
"S. 2789",https://www.congress.gov/bill/101st-congress/senate-bill/2789,"101st Congress (1989-1990)",,"National Earthquake Hazards Reduction Program Reauthorization Act","Sen. Gore, Albert, Jr. [D-TN]",06/26/1990,,,,12,"Senate - Commerce, Science, and Transportation",11/16/1990,"Became Public Law No: 101-614."
"S. 2753",https://www.congress.gov/bill/101st-congress/senate-bill/2753,"101st Congress (1989-1990)",,"Developmental Disabilities Assistance and Bill of Rights Act of 1990","Sen. Harkin, Tom [D-IA]",06/19/1990,,,,13,"House - Energy and Commerce | Senate - Labor and Human Resources",10/31/1990,"Became Public Law No: 101-496."
"S. 2740",https://www.congress.gov/bill/101st-congress/senate-bill/2740,"101st Congress (1989-1990)",,"Water Resources Development Act of 1990","Sen. Burdick, Quentin N. [D-ND]",06/14/1990,,,,0,"Senate - Environment and Public Works",11/28/1990,"Became Public Law No: 101-640."
"S. 2737",https://www.congress.gov/bill/101st-congress/senate-bill/2737,"101st Congress (1989-1990)",,"Korean War Veterans Memorial Thirty-Eighth Anniversary Commemorative Coin Act","Sen. Armstrong, William L. [R-CO]",06/14/1990,,,,62,"House - Banking, Finance, and Urban Affrs | Senate - Banking, Housing, and Urban Affairs",10/31/1990,"Became Public Law No: 101-495."
"S. 2700",https://www.congress.gov/bill/101st-congress/senate-bill/2700,"101st Congress (1989-1990)",,"A bill to authorize the Secretary of Veterans Affairs to proceed with a proposed administrative reorganization of the regional field offices of the Veterans Health Services and Research Administration of the Department of Veterans Affairs, notwithstanding the notice-and-wait provisions in section 210(b) of title 38, United States Code.","Sen. Cranston, Alan [D-CA]",05/24/1990,,,,7,,06/25/1990,"Became Public Law No: 101-312."
"S. 2680",https://www.congress.gov/bill/101st-congress/senate-bill/2680,"101st Congress (1989-1990)",,"A bill to provide for the conveyance of lands to certain individuals in Stone County, Arkansas.","Sen. Bumpers, Dale [D-AR]",05/23/1990,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/22/1990,"Became Private Law No: 101-8."
"S. 2628",https://www.congress.gov/bill/101st-congress/senate-bill/2628,"101st Congress (1989-1990)",,"Mental Health Amendments of 1990","Sen. Kennedy, Edward M. [D-MA]",05/15/1990,,,,3,"House - Energy and Commerce | Senate - Labor and Human Resources",11/28/1990,"Became Public Law No: 101-639."
"S. 2597",https://www.congress.gov/bill/101st-congress/senate-bill/2597,"101st Congress (1989-1990)",,"A bill to amend the Act of June 20, 1910, to clarify in the State of New Mexico authority to exchange lands granted by the United States in trust, and to validate prior land exchanges.","Sen. Domenici, Pete V. [R-NM]",05/09/1990,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",09/20/1990,"Became Public Law No: 101-386."
"S. 2588",https://www.congress.gov/bill/101st-congress/senate-bill/2588,"101st Congress (1989-1990)",,"A bill to amend section 5948 of title 5, United States Code, to reauthorize physicians comparability allowances.","Sen. Stevens, Ted [R-AK]",05/08/1990,,,,3,"House - Post Office and Civil Service | Senate - Governmental Affairs",10/12/1990,"Became Public Law No: 101-420."
"S. 2566",https://www.congress.gov/bill/101st-congress/senate-bill/2566,"101st Congress (1989-1990)",,"Smith River National Recreation Area Act","Sen. McCain, John [R-AZ]",05/02/1990,,,,0,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",11/16/1990,"Became Public Law No: 101-612."
"S. 2540",https://www.congress.gov/bill/101st-congress/senate-bill/2540,"101st Congress (1989-1990)",,"A bill to authorize the Board of Regents of the Smithsonian Institution to plan, design, construct, and equip space in the East Court of the National Museum of Natural History building, and for other purposes.","Sen. Garn, E. J. (Jake) [R-UT]",04/27/1990,,,,1,"House - House Administration, Public Works and Transportation | Senate - Rules and Administration",10/24/1990,"Became Public Law No: 101-455."
"S. 2533",https://www.congress.gov/bill/101st-congress/senate-bill/2533,"101st Congress (1989-1990)",,"A bill to amend the Federal Aviation Act of 1958 to extend the civil penalty assessment demonstration program, and for other purposes.","Sen. Ford, Wendell H. [D-KY]",04/26/1990,,,,3,,05/04/1990,"Became Public Law No: 101-281."
"S. 2516",https://www.congress.gov/bill/101st-congress/senate-bill/2516,"101st Congress (1989-1990)",,"Foreign Direct Investment and International Financial Data Improvements Act of 1990","Sen. Exon, J. James [D-NE]",04/25/1990,,,,3,"Senate - Commerce, Science, and Transportation",11/07/1990,"Became Public Law No: 101-533."
"S. 2461",https://www.congress.gov/bill/101st-congress/senate-bill/2461,"101st Congress (1989-1990)",,"Drug Abuse Treatment Waiting Period Reduction Amendments of 1990","Sen. Kennedy, Edward M. [D-MA]",04/19/1990,,,,0,"House - Energy and Commerce | Senate - Labor and Human Resources",08/15/1990,"Became Public Law No: 101-374."
"S. 2437",https://www.congress.gov/bill/101st-congress/senate-bill/2437,"101st Congress (1989-1990)",,"Minnesota Public Lands Improvement Act of 1990","Sen. Johnston, J. Bennett [D-LA]",04/05/1990,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/18/1990,"Became Public Law No: 101-442."
"S. 2300",https://www.congress.gov/bill/101st-congress/senate-bill/2300,"101st Congress (1989-1990)",,"a bill to provide financial assistance to the Simon Wiesenthal Center in Los Angeles, California, for the education programs of the Museum of Tolerance.","Sen. Kennedy, Edward M. [D-MA]",03/20/1990,,,,28,"Senate - Labor and Human Resources",05/24/1990,"Became Public Law No: 101-300."
"S. 2287",https://www.congress.gov/bill/101st-congress/senate-bill/2287,"101st Congress (1989-1990)",,"National Aeronautics and Space Administration Authorization Act, Fiscal Year 1991","Sen. Gore, Albert, Jr. [D-TN]",03/09/1990,,,,1,"Senate - Commerce, Science, and Transportation",11/16/1990,"Became Public Law No: 101-611."
"S. 2240",https://www.congress.gov/bill/101st-congress/senate-bill/2240,"101st Congress (1989-1990)",,"Ryan White Comprehensive AIDS Resources Emergency Act of 1990","Sen. Kennedy, Edward M. [D-MA]",03/06/1990,,,,66,"Senate - Labor and Human Resources",08/18/1990,"Became Public Law No: 101-381."
"S. 2231",https://www.congress.gov/bill/101st-congress/senate-bill/2231,"101st Congress (1989-1990)",,"Energy Policy and Conservation Act Extension Amendment of 1990","Sen. Johnston, J. Bennett [D-LA]",03/05/1990,,,,0,"Senate - Energy and Natural Resources",03/31/1990,"Became Public Law No: 101-262."
"S. 2205",https://www.congress.gov/bill/101st-congress/senate-bill/2205,"101st Congress (1989-1990)",,"Maine Wilderness Act of 1990","Sen. Mitchell, George J. [D-ME]",02/28/1990,,,,1,"House - Interior and Insular Affairs, Agriculture | Senate - Agriculture, Nutrition, and Forestry",09/28/1990,"Became Public Law No: 101-401."
"S. 2203",https://www.congress.gov/bill/101st-congress/senate-bill/2203,"101st Congress (1989-1990)",,"Zuni Land Conservation Act of 1990","Sen. Domenici, Pete V. [R-NM]",02/28/1990,,,,3,"House - Interior and Insular Affairs | Senate - Indian Affairs",10/31/1990,"Became Public Law No: 101-486."
"S. 2167",https://www.congress.gov/bill/101st-congress/senate-bill/2167,"101st Congress (1989-1990)",,"Native American Languages Act","Sen. McCain, John [R-AZ]",02/22/1990,,,,7,"Senate - Indian Affairs",10/30/1990,"Became Public Law No: 101-477."
"S. 2151",https://www.congress.gov/bill/101st-congress/senate-bill/2151,"101st Congress (1989-1990)",,"A bill to permit the transfer of the obsolete submarine U.S.S. Requin to the Carnegie Institute in Pittsburgh, Pennsylvania, before the expiration of the 60-day waiting period that would otherwise be applicable to the transfer.","Sen. Heinz, John [R-PA]",02/21/1990,,,,0,"House - Armed Services | Senate - Armed Services",04/09/1990,"Became Public Law No: 101-269."
"S. 2124",https://www.congress.gov/bill/101st-congress/senate-bill/2124,"101st Congress (1989-1990)",,"National Space Council Authorization Act of 1990","Sen. Hollings, Ernest F. [D-SC]",02/08/1990,,,,2,,07/08/1990,"Became Public Law No: 101-328."
"S. 2088",https://www.congress.gov/bill/101st-congress/senate-bill/2088,"101st Congress (1989-1990)",,"Energy Policy and Conservation Act Amendments of 1990","Sen. Johnston, J. Bennett [D-LA]",02/07/1990,,,,1,"Senate - Energy and Natural Resources",09/15/1990,"Became Public Law No: 101-383."
"S. 2075",https://www.congress.gov/bill/101st-congress/senate-bill/2075,"101st Congress (1989-1990)",,"Indian Environmental Regulatory Enhancement Act of 1990","Sen. McCain, John [R-AZ]",02/06/1990,,,,3,"House - Interior and Insular Affairs | Senate - Indian Affairs",10/04/1990,"Became Public Law No: 101-408."
"S. 2059",https://www.congress.gov/bill/101st-congress/senate-bill/2059,"101st Congress (1989-1990)",,"Weir Farm National Historic Site Establishment Act of 1990","Sen. Lieberman, Joseph I. [D-CT]",02/05/1990,,,,3,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/31/1990,"Became Public Law No: 101-485."
"S. 2056",https://www.congress.gov/bill/101st-congress/senate-bill/2056,"101st Congress (1989-1990)",,"Year 2000 Health Objectives Planning Act","Sen. Harkin, Tom [D-IA]",02/01/1990,,,,36,"Senate - Labor and Human Resources",11/15/1990,"Became Public Law No: 101-582."
"S. 2017",https://www.congress.gov/bill/101st-congress/senate-bill/2017,"101st Congress (1989-1990)",,"Eisenhower Exchange Fellowship Act of 1990","Sen. Dole, Robert J. [R-KS]",01/23/1990,,,,14,"Senate - Foreign Relations",10/24/1990,"Became Public Law No: 101-454."
"S. 1999",https://www.congress.gov/bill/101st-congress/senate-bill/1999,"101st Congress (1989-1990)",,"A bill to amend the Higher Education Act of 1965 to clarify the administrative procedures of the National Commission on Responsibilities for Financing Postsecondary Education.","Sen. Jeffords, James M. [R-VT]",11/22/1989,,,,1,"House - Education and Labor",07/06/1990,"Became Public Law No: 101-324."
"S. 1974",https://www.congress.gov/bill/101st-congress/senate-bill/1974,"101st Congress (1989-1990)",,"Television Decoder Circuitry Act of 1990","Sen. Harkin, Tom [D-IA]",11/21/1989,,,,16,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation",10/15/1990,"Became Public Law No: 101-431."
"S. 1960",https://www.congress.gov/bill/101st-congress/senate-bill/1960,"101st Congress (1989-1990)",,"A bill to authorize the food stamp portion of the Minnesota Family Investment Plan.","Sen. Boschwitz, Rudy [R-MN]",11/21/1989,,,,0,,12/06/1989,"Became Public Law No: 101-202."
"S. 1949",https://www.congress.gov/bill/101st-congress/senate-bill/1949,"101st Congress (1989-1990)",,"A bill to amend the Labor Management Relations Act of 1947 to permit parties engaged in collective bargaining to bargain over the establishment and administration of trust funds to provide financial assistance for employee housing.","Sen. Kennedy, Edward M. [D-MA]",11/20/1989,,,,0,"House - Education and Labor | Senate - Labor and Human Resources",04/18/1990,"Became Public Law No: 101-273."
"S. 1939",https://www.congress.gov/bill/101st-congress/senate-bill/1939,"101st Congress (1989-1990)",,"A bill to extend the authorization of appropriations for the Taft Institute.","Sen. Moynihan, Daniel Patrick [D-NY]",11/20/1989,,,,4,,11/28/1990,"Became Public Law No: 101-638."
"S. 1931",https://www.congress.gov/bill/101st-congress/senate-bill/1931,"101st Congress (1989-1990)",,"Criminal Victims Protection Act of 1990","Sen. Danforth, John C. [R-MO]",11/20/1989,,,,7,"House - Judiciary | Senate - Judiciary",11/15/1990,"Became Public Law No: 101-581."
"S. 1893",https://www.congress.gov/bill/101st-congress/senate-bill/1893,"101st Congress (1989-1990)",,"Asbestos School Hazard Abatement Reauthorization Act of 1990","Sen. Lautenberg, Frank R. [D-NJ]",11/16/1989,,,,17,"Senate - Environment and Public Works",11/28/1990,"Became Public Law No: 101-637."
"S. 1890",https://www.congress.gov/bill/101st-congress/senate-bill/1890,"101st Congress (1989-1990)",,"A bill to amend title 5, United States Code, to provide relief from certain inequities remaining in the crediting of National Guard technician service in connection with civil service retirement, and for other purposes.","Sen. Thurmond, Strom [R-SC]",11/16/1989,,,,81,"House - Post Office and Civil Service, Armed Services | Senate - Governmental Affairs",11/06/1990,"Became Public Law No: 101-530."
"S. 1877",https://www.congress.gov/bill/101st-congress/senate-bill/1877,"101st Congress (1989-1990)",,"A bill to improve the operational efficiency of the James Madison Memorial Fellowship Foundation, and for other purposes.","Sen. Kennedy, Edward M. [D-MA]",11/14/1989,,,,1,,12/07/1989,"Became Public Law No: 101-208."
"S. 1875",https://www.congress.gov/bill/101st-congress/senate-bill/1875,"101st Congress (1989-1990)",,"A bill to redesignate the Calamus Dam and Reservoir authorized under the Reclamation Project Authorization Act of 1972 as the Virginia Smith Dam and Calamus Lake Recreation Area.","Sen. Exon, J. James [D-NE]",11/14/1989,,,,1,"House - Public Works and Transportation, Interior and Insular Affairs | Senate - Environment and Public Works",08/10/1990,"Became Public Law No: 101-359."
"S. 1859",https://www.congress.gov/bill/101st-congress/senate-bill/1859,"101st Congress (1989-1990)",,"A bill to restructure repayment terms and conditions for loans by the Secretary of the Interior to the Wolf Trap Foundation for the Performing Arts for the reconstruction of the Filene Center in Wolf Trap Farm Park in Fairfax County, Virginia, and for other purposes.","Sen. Warner, John [R-VA]",11/08/1989,,,,3,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",11/28/1990,"Became Public Law No: 101-636."
"S. 1853",https://www.congress.gov/bill/101st-congress/senate-bill/1853,"101st Congress (1989-1990)",,"A bill to award a Congressional Gold Medal to Laurance Spelman Rockefeller.","Sen. Chafee, John H. [R-RI]",11/08/1989,,,,56,"House - Banking, Finance, and Urban Affrs | Senate - Banking, Housing, and Urban Affairs",05/17/1990,"Became Public Law No: 101-296."
"S. 1846",https://www.congress.gov/bill/101st-congress/senate-bill/1846,"101st Congress (1989-1990)",,"A bill to make miscellaneous amendments to Indian laws, and for other purposes.","Sen. Inouye, Daniel K. [D-HI]",11/07/1989,,,,0,"Senate - Indian Affairs",05/24/1990,"Became Public Law No: 101-301."
"S. 1827",https://www.congress.gov/bill/101st-congress/senate-bill/1827,"101st Congress (1989-1990)",,"A bill to revise and clarify the authority of the Administrator of General Services relating to the acquisition and management of certain property in the city of New York.","Sen. Moynihan, Daniel Patrick [D-NY]",11/01/1989,,,,1,,11/16/1989,"Became Public Law No: 101-156."
"S. 1824",https://www.congress.gov/bill/101st-congress/senate-bill/1824,"101st Congress (1989-1990)",,"Education of the Handicapped Act Amendments of 1990","Sen. Harkin, Tom [D-IA]",10/31/1989,,,,16,"House - Education and Labor | Senate - Labor and Human Resources",10/30/1990,"Became Public Law No: 101-476."
"S. 1814",https://www.congress.gov/bill/101st-congress/senate-bill/1814,"101st Congress (1989-1990)",,"A bill for the relief of Wilson Johan Sherrouse.","Sen. Lott, Trent [R-MS]",10/31/1989,,,,0,"House - Judiciary | Senate - Judiciary",10/17/1990,"Became Private Law No: 101-7."
"S. 1813",https://www.congress.gov/bill/101st-congress/senate-bill/1813,"101st Congress (1989-1990)",,"A bill to ensure that funds provided under section 4213 of the Indian Alcohol and Substances Abuse Prevention and Treatment Act of 1986 may be used to acquire land for emergency shelters.","Sen. Gorton, Slade [R-WA]",10/31/1989,,,,5,"House - Energy and Commerce, Interior and Insular Affairs | Senate - Indian Affairs",04/18/1990,"Became Public Law No: 101-272."
"S. 1805",https://www.congress.gov/bill/101st-congress/senate-bill/1805,"101st Congress (1989-1990)",,"A bill to authorize the Secretary of the Interior to reinstate oil and gas lease LA 033164.","Sen. Inouye, Daniel K. [D-HI]",10/27/1989,,,,2,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",11/15/1990,"Became Public Law No: 101-567."
"S. 1793",https://www.congress.gov/bill/101st-congress/senate-bill/1793,"101st Congress (1989-1990)",,"A bill to make technical and correcting changes in agriculture programs.","Sen. Pryor, David H. [D-AR]",10/25/1989,,,,3,,12/12/1989,"Became Public Law No: 101-220."
"S. 1792",https://www.congress.gov/bill/101st-congress/senate-bill/1792,"101st Congress (1989-1990)",,"A bill to amend the Disaster Assistance Act of 1989 to avoid penalizing producers who planted a replacement crop on disaster-affected acreage, and for other purposes.","Sen. Kassebaum, Nancy Landon [R-KS]",10/25/1989,,,,9,,10/30/1989,"Became Public Law No: 101-134."
"S. 1756",https://www.congress.gov/bill/101st-congress/senate-bill/1756,"101st Congress (1989-1990)",,"Maine Acadian Culture Preservation Act","Sen. Mitchell, George J. [D-ME]",10/16/1989,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",11/08/1990,"Became Public Law No: 101-543."
"S. 1747",https://www.congress.gov/bill/101st-congress/senate-bill/1747,"101st Congress (1989-1990)",,"Ponca Restoration Act","Sen. Exon, J. James [D-NE]",10/11/1989,,,,1,"House - Interior and Insular Affairs | Senate - Indian Affairs",10/31/1990,"Became Public Law No: 101-484."
"S. 1738",https://www.congress.gov/bill/101st-congress/senate-bill/1738,"101st Congress (1989-1990)",,"A bill to convey certain Oregon and California Railroad Grant Lands in Josephine County, Oregon to the Rogue Community College District, and for other purposes.","Sen. Hatfield, Mark O. [R-OR]",10/06/1989,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",10/12/1990,"Became Public Law No: 101-419."
"S. 1709",https://www.congress.gov/bill/101st-congress/senate-bill/1709,"101st Congress (1989-1990)",,"A bill to provide interim extensions of Department of Veterans Affairs programs of respite care for certain veterans, community-based residential care for homeless chronically mentally ill veterans, State Home construction grants, and leave transfers for certain health-care professionals, and of department of Veterans Affairs home-loan fees.","Sen. Cranston, Alan [D-CA]",09/29/1989,,,,1,,10/06/1989,"Became Public Law No: 101-110."
"S. 1683",https://www.congress.gov/bill/101st-congress/senate-bill/1683,"101st Congress (1989-1990)",,"A bill for the relief of Paula Grzyb.","Sen. Kohl, Herb [D-WI]",09/28/1989,,,,0,"House - Judiciary | Senate - Judiciary",10/17/1990,"Became Private Law No: 101-6."
"S. 1630",https://www.congress.gov/bill/101st-congress/senate-bill/1630,"101st Congress (1989-1990)",,"Clean Air Act Amendments of 1990","Sen. Baucus, Max [D-MT]",09/14/1989,,,,22,"Senate - Environment and Public Works",11/15/1990,"Became Public Law No: 101-549."
"S. 1543",https://www.congress.gov/bill/101st-congress/senate-bill/1543,"101st Congress (1989-1990)",,"A bill to authorize the Colonial Dames at Gunston Hall to establish a memorial to George Mason in the District of Columbia.","Sen. Robb, Charles S. [D-VA]",08/04/1989,,,,1,"House - House Administration | Senate - Rules and Administration",08/10/1990,"Became Public Law No: 101-358."
"S. 1524",https://www.congress.gov/bill/101st-congress/senate-bill/1524,"101st Congress (1989-1990)",,"Pemigewasset River Study Act of 1989","Sen. Humphrey, Gordon J. [R-NH]",08/03/1989,,,,1,"House - Interior and Insular Affairs | Senate - Energy and Natural Resources",08/10/1990,"Became Public Law No: 101-357."
"S. 1521",https://www.congress.gov/bill/101st-congress/senate-bill/1521,"101st Congress (1989-1990)",,"A bill to amend Public Law 91-34 relating to the police force of the National Zoological Park of the Smithsonian Institution, and for other purposes.","Sen. Moynihan, Daniel Patrick [D-NY]",08/03/1989,,,,1,"House - House Administration | Senate - Rules and Administration",04/04/1990,"Became Public Law No: 101-263."
