"Downloaded on",02/17/2020,"11:59:34 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2264",https://www.congress.gov/bill/108th-congress/senate-bill/2264,"108th Congress (2003-2004)",,"Northern Uganda Crisis Response Act","Sen. Feingold, Russell D. [D-WI]",03/31/2004,,,,8,"House - International Relations | Senate - Foreign Relations",08/02/2004,"Became Public Law No: 108-283."
"S. 2241",https://www.congress.gov/bill/108th-congress/senate-bill/2241,"108th Congress (2003-2004)",,"A bill to reauthorize certain school lunch and child nutrition programs through June 30, 2004.","Sen. Cochran, Thad [R-MS]",03/26/2004,,,,1,,03/31/2004,"Became Public Law No: 108-211."
"S. 2238",https://www.congress.gov/bill/108th-congress/senate-bill/2238,"108th Congress (2003-2004)",,"Bunning-Bereuter-Blumenaur Flood Insurance Reform Act of 2004","Sen. Bunning, Jim [R-KY]",03/25/2004,,,,9,"Senate - Banking, Housing, and Urban Affairs",06/30/2004,"Became Public Law No: 108-264."
"S. 2231",https://www.congress.gov/bill/108th-congress/senate-bill/2231,"108th Congress (2003-2004)",,"Welfare Reform Extension Act of 2004","Sen. Grassley, Chuck [R-IA]",03/25/2004,,,,1,"House - Ways and Means, Energy and Commerce",03/31/2004,"Became Public Law No: 108-210."
"S. 2214",https://www.congress.gov/bill/108th-congress/senate-bill/2214,"108th Congress (2003-2004)",,"A bill to designate the facility of the United States Postal Service located at 3150 Great Northern Avenue in Missoula, Montana, as the ""Mike Mansfield Post Office"".","Sen. Burns, Conrad R. [R-MT]",03/12/2004,,,,1,"House - Government Reform | Senate - Governmental Affairs",12/03/2004,"Became Public Law No: 108-440."
"S. 2195",https://www.congress.gov/bill/108th-congress/senate-bill/2195,"108th Congress (2003-2004)",,"Anabolic Steroid Control Act of 2004","Sen. Biden, Joseph R., Jr. [D-DE]",03/11/2004,,,,10,"Senate - Judiciary",10/22/2004,"Became Public Law No: 108-358."
"S. 2192",https://www.congress.gov/bill/108th-congress/senate-bill/2192,"108th Congress (2003-2004)",,"Cooperative Research and Technology Enhancement (CREATE) Act of 2004","Sen. Hatch, Orrin G. [R-UT]",03/10/2004,,,,7,"Senate - Judiciary",12/10/2004,"Became Public Law No: 108-453."
"S. 2180",https://www.congress.gov/bill/108th-congress/senate-bill/2180,"108th Congress (2003-2004)",,"Arapaho and Roosevelt National Forests Land Exchange Act of 2004
","Sen. Campbell, Ben Nighthorse [R-CO]",03/09/2004,,,,1,"Senate - Energy and Natural Resources",10/18/2004,"Became Public Law No: 108-346."
"S. 2178",https://www.congress.gov/bill/108th-congress/senate-bill/2178,"108th Congress (2003-2004)",,"National Park System Laws Technical Amendments Act of 2004","Sen. Domenici, Pete V. [R-NM]",03/09/2004,,,,0,"House - Resources | Senate - Energy and Natural Resources",10/21/2004,"Became Public Law No: 108-352."
"S. 2136",https://www.congress.gov/bill/108th-congress/senate-bill/2136,"108th Congress (2003-2004)",,"An original bill to extend the final report date and termination date of the National Commission on Terrorist Attacks Upon the United States, to provide additional funding for the Commission, and for other purposes.","Sen. Roberts, Pat [R-KS]",02/26/2004,,,,0,"Senate - Intelligence",03/16/2004,"Became Public Law No: 108-207."
