Sponsor Name,Party,Current,Sponsored Count,Cosponsored Count,Weighted Score,Score Relative to Expectation,Rank
"Sen. Byrd, Harry F.,  Jr.",Independent,False,2,22,2.427,1.000,129
"Sen. McCaskill, Claire",Democratic,False,5,62,6.692,1.000,130
"Sen. Kempthorne, Dirk",Republican,False,2,40,3.925,0.998,131
"Sen. Gore, Albert, Jr.",Democratic,False,6,200,7.988,0.982,132
"Sen. Schweiker, Richard S.",Republican,False,6,51,6.814,0.970,133
"Sen. Tunney, John V.",Democratic,False,4,42,6.091,0.967,134
"Sen. Clinton, Hillary Rodham",Democratic,False,1,70,3.980,0.967,135
"Sen. Smith, Gordon H.",Republican,False,9,64,8.563,0.965,136
"Sen. Fischer, Deb",Republican,True,4,36,3.269,0.961,137
"Sen. Johnson, Tim",Democratic,False,8,104,9.000,0.960,138
"Sen. Symington, Stuart",Democratic,False,6,9,6.044,0.959,139
"Sen. Vitter, David",Republican,False,5,51,5.121,0.958,140
"Sen. Rockefeller, John D., IV",Democratic,False,21,200,18.623,0.951,141
"Sen. Whitehouse, Sheldon",Democratic,True,8,84,6.665,0.950,142
"Sen. Hollings, Ernest F.",Democratic,False,24,361,27.215,0.949,143
"Sen. Cleland, Max",Democratic,False,1,37,2.672,0.948,144
"Sen. Baker, Howard H., Jr.",Republican,False,11,64,11.660,0.945,145
"Sen. Gorton, Slade",Republican,False,18,182,15.671,0.944,146
"Sen. Graham, Bob",Democratic,False,15,158,11.865,0.943,147
"Sen. Mitchell, George J.",Democratic,False,16,193,14.121,0.931,148
"Sen. Isakson, Johnny",Republican,False,7,81,6.301,0.926,149
"Sen. Warner, John",Republican,False,21,290,22.572,0.924,150
"Sen. Merkley, Jeff",Democratic,True,4,52,5.013,0.924,151
"Sen. Kerry, John F.",Democratic,False,16,308,17.376,0.923,152
"Sen. Tillis, Thom",Republican,True,2,43,2.531,0.917,153
"Sen. Hutchison, Kay Bailey",Republican,False,14,85,11.230,0.912,154
"Sen. Kirk, Mark Steven",Republican,False,1,36,1.951,0.905,155
"Sen. Pryor, David H.",Democratic,False,15,211,14.149,0.904,156
"Sen. Culver, John C.",Democratic,False,9,19,7.822,0.902,157
"Sen. Schatz, Brian",Democratic,True,2,35,2.838,0.896,158
"Sen. Tower, John G.",Republican,False,8,79,11.030,0.894,159
"Sen. Reid, Harry",Democratic,False,15,224,17.156,0.892,160
"Sen. Metzenbaum, Howard M.",Democratic,False,30,234,19.352,0.891,161
"Sen. Ribicoff, Abraham A.",Democratic,False,11,43,10.874,0.885,162
"Sen. Snowe, Olympia J.",Republican,False,9,96,9.836,0.885,163
"Sen. Murray, Patty",Democratic,True,8,164,12.249,0.884,164
"Sen. Moran, Jerry",Republican,True,3,48,3.463,0.883,165
"Sen. Brown, Hank",Republican,False,2,54,2.973,0.883,166
"Sen. Montoya, Joseph M.",Democratic,False,4,24,5.559,0.882,167
"Sen. Coons, Christopher A.",Democratic,True,1,78,3.531,0.880,168
"Sen. Quayle, Dan",Republican,False,11,110,9.457,0.880,169
"Sen. Cotton, Norris",Republican,False,0,14,3.445,0.879,170
"Sen. Obama, Barack",Democratic,False,2,28,2.268,0.878,171
"Sen. Helms, Jesse",Republican,False,25,210,22.582,0.877,172
"Sen. Robb, Charles S.",Democratic,False,6,131,7.500,0.868,173
"Sen. Fannin, Paul J.",Republican,False,2,25,3.396,0.867,174
"Sen. Bradley, Bill",Democratic,False,17,233,13.260,0.847,175
"Sen. Crapo, Mike",Republican,True,7,89,9.920,0.842,176
"Sen. Chafee, John H.",Republican,False,17,254,15.931,0.841,177
"Sen. Blumenthal, Richard",Democratic,True,0,85,3.345,0.834,178
"Sen. Coverdell, Paul",Republican,False,7,30,5.109,0.833,179
"Sen. Metcalf, Lee",Democratic,False,8,27,7.704,0.833,180
"Sen. Menendez, Robert",Democratic,True,6,78,5.846,0.833,181
"Sen. Torricelli, Robert G.",Democratic,False,1,29,2.344,0.832,182
"Sen. Chiles, Lawton",Democratic,False,16,159,15.351,0.830,183
"Sen. Bennett, Robert F.",Republican,False,8,82,9.740,0.826,184
"Sen. Hawkins, Paula",Republican,False,7,101,6.350,0.823,185
"Sen. Lee, Mike",Republican,True,2,14,3.228,0.823,186
"Sen. Ford, Wendell H.",Democratic,False,21,183,18.224,0.822,187
"Sen. Udall, Tom",Democratic,True,6,42,4.454,0.821,188
"Sen. Boxer, Barbara",Democratic,False,11,111,10.247,0.819,189
"Sen. Hayakawa, Samuel Ichiye",Republican,False,5,33,4.536,0.818,190
"Sen. Heflin, Howell",Democratic,False,11,235,12.702,0.811,191
"Sen. Beall, J. Glenn, Jr.",Republican,False,1,40,3.178,0.811,192
"Sen. Bellmon, Henry L.",Republican,False,4,24,5.679,0.808,193
"Sen. Heinrich, Martin",Democratic,True,0,29,2.544,0.804,194
"Sen. Chambliss, Saxby",Republican,False,2,54,4.907,0.802,195
"Sen. Humphrey, Hubert H.",Democratic,False,8,76,7.383,0.799,196
"Sen. Cantwell, Maria",Democratic,True,6,96,7.605,0.797,197
"Sen. Thompson, Fred",Republican,False,5,18,4.484,0.795,198
"Sen. Stafford, Robert T.",Republican,False,12,179,12.800,0.792,199
"Sen. Bumpers, Dale",Democratic,False,19,234,17.511,0.790,200
"Sen. Bond, Christopher S.",Republican,False,15,173,12.556,0.785,201
"Sen. Boschwitz, Rudy",Republican,False,8,215,9.404,0.771,202
"Sen. Cassidy, Bill",Republican,True,3,20,2.108,0.764,203
"Sen. Sarbanes, Paul S.",Democratic,False,16,281,17.748,0.760,204
"Sen. Casey, Robert P., Jr.",Democratic,True,5,81,5.325,0.759,205
"Sen. Pryor, Mark L.",Democratic,False,5,56,4.962,0.757,206
"Sen. Kassebaum, Nancy Landon",Republican,False,14,181,11.744,0.755,207
"Sen. Cruz, Ted",Republican,True,2,28,2.567,0.755,208
"Sen. Huddleston, Walter (Dee)",Democratic,False,10,108,11.060,0.753,209
"Sen. Flake, Jeff",Republican,False,4,13,2.316,0.747,210
"Sen. Taft, Robert, Jr.",Republican,False,1,32,2.923,0.746,211
"Sen. Mondale, Walter F.",Democratic,False,4,43,4.699,0.746,212
"Sen. Booker, Cory A.",Democratic,True,2,39,2.356,0.744,213
"Sen. Stennis, John C.",Democratic,False,17,124,13.684,0.740,214
"Sen. Bentsen, Lloyd M.",Democratic,False,18,218,16.874,0.740,215
"Sen. Warren, Elizabeth",Democratic,True,1,50,2.318,0.732,216
"Sen. Allen, George",Republican,False,3,38,2.983,0.725,217
"Sen. Sessions, Jeff",Republican,False,7,77,8.439,0.719,218
"Sen. Cohen, William S.",Republican,False,8,178,11.044,0.710,219
"Sen. Glenn, John H., Jr.",Democratic,False,15,261,15.723,0.709,220
"Sen. McGovern, George",Democratic,False,9,67,8.606,0.701,221
"Sen. Biden, Joseph R., Jr.",Democratic,False,23,223,21.891,0.701,222
"Sen. Hoeven, John",Republican,True,4,33,2.745,0.700,223
"Sen. Lautenberg, Frank R.",Democratic,False,12,299,13.691,0.700,224
"Sen. Adams, Brock",Democratic,False,1,153,4.673,0.694,225
"Sen. Heller, Dean",Republican,False,2,43,2.492,0.688,226
"Sen. Coburn, Tom",Republican,False,2,32,2.982,0.686,227
"Sen. Case, Clifford P.",Republican,False,2,33,3.821,0.685,228
"Sen. Lincoln, Blanche L.",Democratic,False,4,54,4.682,0.680,229
"Sen. Cook, Marlow W.",Republican,False,2,13,1.364,0.677,230
"Sen. Donnelly, Joe",Democratic,False,1,35,1.910,0.673,231
"Sen. Inhofe, James M.",Republican,True,11,108,9.735,0.671,232
"Sen. Weicker, Lowell P., Jr.",Republican,False,14,108,10.802,0.668,233
"Sen. Warner, Mark R.",Democratic,True,4,40,3.613,0.666,234
"Sen. Krueger, Robert C.",Democratic,False,0,6,1.058,0.661,235
"Sen. Simpson, Alan K.",Republican,False,7,159,10.242,0.658,236
"Sen. Sununu, John E.",Republican,False,4,29,2.773,0.652,237
"Sen. Shaheen, Jeanne",Democratic,True,4,64,3.535,0.651,238
"Sen. Buckley, James L.",Republican,False,1,21,2.549,0.651,239
"Sen. Jepsen, Roger W.",Republican,False,5,51,4.400,0.650,240
"Sen. Danforth, John C.",Republican,False,11,149,10.536,0.650,241
"Sen. Seymour, John",Republican,False,0,26,0.747,0.649,242
