"Downloaded on",02/17/2020,"11:58:18 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3508",https://www.congress.gov/bill/115th-congress/senate-bill/3508,"115th Congress (2017-2018)",,"Save Our Seas Act of 2018","Sen. Sullivan, Dan  [R-AK]",09/26/2018,,,,3,,10/11/2018,"Became Public Law No: 115-265."
"S. 3479",https://www.congress.gov/bill/115th-congress/senate-bill/3479,"115th Congress (2017-2018)",,"Department of Veterans Affairs Expiring Authorities Act of 2018","Sen. Isakson, Johnny [R-GA]",09/18/2018,,,,1,,09/29/2018,"Became Public Law No: 115-251."
"S. 3456",https://www.congress.gov/bill/115th-congress/senate-bill/3456,"115th Congress (2017-2018)",,"A bill to redesignate Hobe Sound National Wildlife Refuge as the Nathaniel P. Reed Hobe Sound National Wildlife Refuge, and for other purposes.","Sen. Nelson, Bill [D-FL]",09/18/2018,,,,1,"Senate - Environment and Public Works",01/10/2019,"Became Public Law No: 115-432."
"S. 3444",https://www.congress.gov/bill/115th-congress/senate-bill/3444,"115th Congress (2017-2018)",,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in Lake Charles, Louisiana, as the ""Douglas Fournet Department of Veterans Affairs Clinic"".","Sen. Cassidy, Bill [R-LA]",09/17/2018,,,,1,"Senate - Veterans' Affairs",01/03/2019,"Became Public Law No: 115-421."
"S. 3442",https://www.congress.gov/bill/115th-congress/senate-bill/3442,"115th Congress (2017-2018)",,"A bill to designate the facility of the United States Postal Service located at 105 Duff Street in Macon, Missouri, as the ""Arla W. Harrell Post Office"".","Sen. McCaskill, Claire [D-MO]",09/17/2018,,,,1,"House - Oversight and Government | Senate - Homeland Security and Governmental Affairs",12/13/2018,"Became Public Law No: 115-314."
"S. 3414",https://www.congress.gov/bill/115th-congress/senate-bill/3414,"115th Congress (2017-2018)",,"A bill to designate the facility of the United States Postal Service located at 20 Ferry Road in Saunderstown, Rhode Island, as the ""Captain Matthew J. August Post Office"".","Sen. Reed, Jack [D-RI]",09/06/2018,,,,1,"House - Oversight and Government | Senate - Homeland Security and Governmental Affairs",12/13/2018,"Became Public Law No: 115-313."
"S. 3389",https://www.congress.gov/bill/115th-congress/senate-bill/3389,"115th Congress (2017-2018)",,"A bill to redesignate a facility of the National Aeronautics and Space Administration.","Sen. Capito, Shelley Moore [R-WV]",08/27/2018,,,,1,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",12/11/2018,"Became Public Law No: 115-309."
"S. 3367",https://www.congress.gov/bill/115th-congress/senate-bill/3367,"115th Congress (2017-2018)",,"Department of Transportation Reports Harmonization Act","Sen. Thune, John [R-SD]",08/22/2018,,,,0,"Senate - Commerce, Science, and Transportation",01/03/2019,"Became Public Law No: 115-420."
"S. 3354",https://www.congress.gov/bill/115th-congress/senate-bill/3354,"115th Congress (2017-2018)",,"Missing Children's Assistance Act of 2018","Sen. Grassley, Chuck [R-IA]",08/16/2018,,,,9,"Senate - Judiciary",10/11/2018,"Became Public Law No: 115-267."
"S. 3247",https://www.congress.gov/bill/115th-congress/senate-bill/3247,"115th Congress (2017-2018)",,"Women's Entrepreneurship and Economic Empowerment Act of 2018","Sen. Boozman, John [R-AR]",07/19/2018,,,,12,"Senate - Foreign Relations",01/09/2019,"Became Public Law No: 115-428."
"S. 3237",https://www.congress.gov/bill/115th-congress/senate-bill/3237,"115th Congress (2017-2018)",,"A bill to designate the facility of the United States Postal Service located at 120 12th Street Lobby in Columbus, Georgia, as the ""Richard W. Williams, Jr., Chapter of the Triple Nickles (555th P.I.A.) Post Office"".","Sen. Perdue, David [R-GA]",07/18/2018,,,,1,"House - Oversight and Government | Senate - Homeland Security and Governmental Affairs",12/14/2018,"Became Public Law No: 115-319."
"S. 3209",https://www.congress.gov/bill/115th-congress/senate-bill/3209,"115th Congress (2017-2018)",,"A bill to designate the facility of the United States Postal Service located at 413 Washington Avenue in Belleville, New Jersey, as the ""Private Henry Svehla Post Office Building"".","Sen. Menendez, Robert [D-NJ]",07/12/2018,,,,1,"House - Oversight and Government | Senate - Homeland Security and Governmental Affairs",12/14/2018,"Became Public Law No: 115-318."
"S. 3191",https://www.congress.gov/bill/115th-congress/senate-bill/3191,"115th Congress (2017-2018)",,"Civil Rights Cold Case Records Collection Act of 2018","Sen. Jones, Doug  [D-AL]",07/10/2018,,,,3,"Senate - Homeland Security and Governmental Affairs",01/08/2019,"Became Public Law No: 115-426."
"S. 3170",https://www.congress.gov/bill/115th-congress/senate-bill/3170,"115th Congress (2017-2018)",,"CyberTipline Modernization Act of 2018","Sen. Cornyn, John [R-TX]",06/28/2018,,,,12,"House - Judiciary | Senate - Judiciary",12/21/2018,"Became Public Law No: 115-395."
"S. 3119",https://www.congress.gov/bill/115th-congress/senate-bill/3119,"115th Congress (2017-2018)",,"Endangered Salmon Predation Prevention Act","Sen. Risch, James E. [R-ID]",06/21/2018,,,,5,"Senate - Commerce, Science, and Transportation",12/18/2018,"Became Public Law No: 115-329."
